timestamp,Kevin Warsh,Arthur Laffer,Bill Pulte,Christopher Waller,Donald Trump (Himself),David Malpass,David Zervos,Howard Lutnick,James Bullard,Jerome Powell,Judy Shelton,Janet Yellen,Kevin Hassett,Larry Kudlow,Larry Lindsey,Lorie Logan,Michelle Bowman,Marc Sumerlin,Philip Jefferson,Ron Paul,Rick Rieder,Scott Bessent,Stephen Miran
2024-12-19T00:00:00Z,23.00,8.00,,,,,,,,,14.00,,18.00,13.00,,,,,,,,,
2024-12-20T00:00:00Z,23.04,8.00,,,,,,,,,14.00,,18.00,13.00,,,,,,,,,
2024-12-21T00:00:00Z,23.04,8.00,,,,,,,,,14.00,,21.00,13.00,,,,,,,,,
2024-12-22T00:00:00Z,26.00,8.00,,,,,,,,,14.00,,21.00,13.00,,,,,,,,,
2024-12-23T00:00:00Z,26.00,8.00,,,,,,,,,14.00,,21.00,13.00,,,,,,,,,
2024-12-24T00:00:00Z,26.00,8.00,,,,,,,,,14.00,,21.00,13.00,,,,,,,,,
2024-12-25T00:00:00Z,26.00,8.00,,,,,,,,,14.00,,18.00,13.00,,,,,,,,,
2025-01-08T00:00:00Z,26.00,8.00,,,,,,,,,14.00,,20.00,13.00,,,,,,,,,
2025-01-09T00:00:00Z,25.20,8.00,,,,,,,,,12.10,,20.00,13.00,,,,,,,,,
2025-01-23T00:00:00Z,25.20,8.00,,,,,,,,3.99,12.10,,20.00,13.00,,,,,,,,,
2025-02-08T00:00:00Z,25.20,8.00,,,,,,,,6.00,12.10,,20.00,13.00,,,,,,,,,
2025-02-19T00:00:00Z,26.00,8.00,,,,,,,,6.00,12.10,,20.00,13.00,,,,,,,,,
2025-03-06T00:00:00Z,26.00,8.00,,,,,,,,6.00,16.00,,20.00,13.00,,,,,,,,,
2025-03-12T00:00:00Z,26.00,8.00,,,,,,,,6.00,16.00,,20.00,15.00,,,,,,,,,
2025-03-20T00:00:00Z,26.00,8.00,,,,,,,,6.00,16.00,,20.00,13.00,,,,,,5.17,,,
2025-03-21T00:00:00Z,26.00,8.00,,,,,,,,6.00,16.00,,20.00,13.00,,,,,,6.00,,,
2025-03-31T00:00:00Z,25.00,8.00,,,,,,,,6.00,16.00,,20.00,13.00,,,,,,6.00,,,
2025-04-10T00:00:00Z,25.00,8.00,,,,,,,,6.00,16.00,,18.00,13.00,,,,,,6.00,,,
2025-04-15T00:00:00Z,25.00,8.00,,,,,,,,6.00,16.00,,18.00,11.00,,,,,,6.00,,,
2025-04-16T00:00:00Z,26.41,8.00,,,,,,,,4.97,16.00,,19.50,11.00,,,,,,5.33,,,
2025-04-18T00:00:00Z,34.96,8.00,,,,,,,,4.97,16.00,,17.12,11.00,,,,,,5.33,,,
2025-04-19T00:00:00Z,45.63,8.00,,,,,,,,4.97,12.00,,17.12,11.00,,,,,,5.90,,,
2025-04-20T00:00:00Z,50.00,8.00,,,,,,,,4.97,12.00,,17.12,11.00,,,,,,5.90,,,
2025-04-21T00:00:00Z,44.00,8.00,,,,,,,,4.97,12.00,,17.12,11.00,,,,,,5.90,,,
2025-04-22T00:00:00Z,44.00,8.00,,,,,,,,4.97,12.00,,17.12,11.00,,,,,,5.90,,,
2025-04-23T00:00:00Z,44.00,8.00,,,,,,,,4.97,12.00,,17.12,10.00,,,,,,5.90,,,
2025-04-24T00:00:00Z,49.00,8.00,,,,,,,,4.97,12.00,,17.12,10.00,,,,,,5.90,,,
2025-04-25T00:00:00Z,42.76,8.00,,,,,,,,4.97,12.00,,17.12,10.00,,,,,,4.00,,,
2025-04-26T00:00:00Z,51.73,8.00,,,,,,,,4.97,12.00,,17.12,10.00,,,,,,4.00,,,
2025-04-28T00:00:00Z,52.45,8.00,,,,,,,,4.97,12.00,,17.12,10.00,,,,,,4.00,,,
2025-04-29T00:00:00Z,52.45,8.00,,,,,,,,4.97,8.00,,17.12,7.00,,,,,,4.00,,,
2025-04-30T00:00:00Z,50.00,1.00,,38.66,,,,,,1.00,1.00,,4.00,1.00,,,,,,4.00,,,
2025-05-01T00:00:00Z,49.00,1.00,,38.66,,,,,,1.00,1.00,,4.00,1.00,,,,,,4.00,,,
2025-05-03T00:00:00Z,58.00,1.00,,38.66,,,,,,1.00,1.00,,4.00,1.00,,,,,,4.00,,,
2025-05-06T00:00:00Z,58.00,1.00,,21.00,,,,,,1.00,1.00,,6.39,1.00,,,,,,4.00,,,
2025-05-07T00:00:00Z,58.00,1.00,,21.00,,,,,,3.25,1.00,,6.39,1.00,,,,,,4.00,,,
2025-05-08T00:00:00Z,58.00,1.00,,21.00,,,,,,1.00,1.00,,6.39,1.00,,,,,,4.00,,,
2025-05-10T00:00:00Z,54.70,1.00,,35.00,,,,,,1.00,1.00,,6.39,1.00,,,,,,4.00,,,
2025-05-13T00:00:00Z,54.70,1.00,,35.00,,,,,,3.54,1.00,,6.39,1.00,,,,,,4.00,,,
2025-05-16T00:00:00Z,54.70,1.00,,35.00,,,,,,3.54,1.00,,6.39,5.00,,,,,,3.00,,,
2025-05-25T00:00:00Z,54.70,1.00,,35.00,,,,,,3.54,1.00,,6.39,5.00,,,,,,4.14,,,
2025-06-03T00:00:00Z,54.70,1.00,,35.96,,,,,,3.54,1.00,,6.39,5.00,,,,,,4.14,,,
2025-06-05T00:00:00Z,54.70,1.00,,35.96,,,,,,1.00,1.00,,6.39,5.00,,,,,,4.14,,,
2025-06-08T00:00:00Z,54.09,1.00,,35.96,,,,,,1.00,2.00,,6.39,5.00,,,,,,4.14,,,
2025-06-09T00:00:00Z,55.18,1.00,,35.96,,,,,,1.00,2.00,,6.39,5.00,,,,,,4.14,,,
2025-06-10T00:00:00Z,56.88,1.00,,35.96,,,,,,1.00,2.00,,6.39,5.00,,,,,,4.14,,,
2025-06-11T00:00:00Z,41.72,1.00,,18.00,,,,,,2.00,2.00,,9.13,5.00,,,,,,4.14,,31.96,
2025-06-12T00:00:00Z,41.72,1.00,,20.00,,,,,,2.00,2.00,,13.97,5.00,,,,,,4.14,,29.20,
2025-06-14T00:00:00Z,41.72,1.00,,20.00,,,,,,2.00,2.00,,13.97,5.00,,,,,,4.14,,30.00,
2025-06-15T00:00:00Z,41.72,1.00,,20.00,,,,,,2.00,2.00,,13.97,5.00,,,,,,3.00,,29.01,
2025-06-16T00:00:00Z,41.72,1.00,,20.00,,,,,,2.00,2.00,,13.97,5.00,,,,,,3.00,,47.00,
2025-06-18T00:00:00Z,41.72,1.00,,20.00,,,,,,2.00,2.00,,13.97,5.00,,,,,,3.00,,46.00,
2025-06-19T00:00:00Z,28.04,1.00,,36.07,,,,,,1.95,9.50,,25.55,1.00,,,,,,3.00,,18.17,
2025-06-20T00:00:00Z,30.36,1.00,,36.07,,,,4.00,,1.95,15.33,,25.55,1.00,,,,,,3.00,,20.36,
2025-06-21T00:00:00Z,34.09,1.00,,22.52,,,,4.00,,3.00,16.00,,16.83,1.00,,,,,,3.00,,20.15,
2025-06-22T00:00:00Z,34.09,1.00,,25.00,,,,4.00,,3.00,16.00,,16.83,1.00,,,,,,3.00,,20.15,
2025-06-23T00:00:00Z,32.00,1.00,,22.00,,,,4.00,,3.00,16.00,,5.00,1.00,,,,,,3.00,,20.15,
2025-06-24T00:00:00Z,28.83,1.00,,25.93,,,,4.00,,3.00,16.00,,5.00,1.00,,,,,,3.00,,20.15,
